campaign_settlement_display_building_ids_tables	3
wh2_main_special_settlement_khemri_def_4	wh2_main_special_settlement_khemri_def_4	wh2_dlc09_tmb_settlement_khemri_4
wh2_main_special_settlement_khemri_def_5	wh2_main_special_settlement_khemri_def_5	wh2_dlc09_tmb_settlement_khemri_5
wh2_main_special_settlement_khemri_def_ruin	wh2_main_special_settlement_khemri_def_ruin	wh2_dlc09_special_settlement_khemri_tmb_ruin
wh2_main_special_settlement_khemri_dwf_1	wh2_main_special_settlement_khemri_dwf_1	wh2_dlc09_tmb_settlement_khemri_1
wh2_main_special_settlement_khemri_dwf_2	wh2_main_special_settlement_khemri_dwf_2	wh2_dlc09_tmb_settlement_khemri_2
wh2_main_special_settlement_khemri_dwf_3	wh2_main_special_settlement_khemri_dwf_3	wh2_dlc09_tmb_settlement_khemri_3
wh2_main_special_settlement_khemri_dwf_4	wh2_main_special_settlement_khemri_dwf_4	wh2_dlc09_tmb_settlement_khemri_4
wh2_main_special_settlement_khemri_dwf_5	wh2_main_special_settlement_khemri_dwf_5	wh2_dlc09_tmb_settlement_khemri_5
wh2_main_special_settlement_khemri_dwf_ruin	wh2_main_special_settlement_khemri_dwf_ruin	wh2_dlc09_special_settlement_khemri_tmb_ruin
wh2_main_special_settlement_khemri_emp_1	wh2_main_special_settlement_khemri_emp_1	wh2_dlc09_tmb_settlement_khemri_1
wh2_main_special_settlement_khemri_emp_2	wh2_main_special_settlement_khemri_emp_2	wh2_dlc09_tmb_settlement_khemri_2
wh2_main_special_settlement_khemri_emp_3	wh2_main_special_settlement_khemri_emp_3	wh2_dlc09_tmb_settlement_khemri_3
wh2_main_special_settlement_khemri_emp_4	wh2_main_special_settlement_khemri_emp_4	wh2_dlc09_tmb_settlement_khemri_4
wh2_main_special_settlement_khemri_emp_5	wh2_main_special_settlement_khemri_emp_5	wh2_dlc09_tmb_settlement_khemri_5
wh2_main_special_settlement_khemri_emp_ruin	wh2_main_special_settlement_khemri_emp_ruin	wh2_dlc09_special_settlement_khemri_tmb_ruin
wh2_main_special_settlement_khemri_grn_1	wh2_main_special_settlement_khemri_grn_1	wh2_dlc09_tmb_settlement_khemri_1
wh2_main_special_settlement_khemri_grn_2	wh2_main_special_settlement_khemri_grn_2	wh2_dlc09_tmb_settlement_khemri_2
wh2_main_special_settlement_khemri_grn_3	wh2_main_special_settlement_khemri_grn_3	wh2_dlc09_tmb_settlement_khemri_3
wh2_main_special_settlement_khemri_grn_4	wh2_main_special_settlement_khemri_grn_4	wh2_dlc09_tmb_settlement_khemri_4
wh2_main_special_settlement_khemri_grn_5	wh2_main_special_settlement_khemri_grn_5	wh2_dlc09_tmb_settlement_khemri_5
wh2_main_special_settlement_khemri_grn_ruin	wh2_main_special_settlement_khemri_grn_ruin	wh2_dlc09_special_settlement_khemri_tmb_ruin
wh2_main_special_settlement_khemri_hef_1	wh2_main_special_settlement_khemri_hef_1	wh2_dlc09_tmb_settlement_khemri_1
wh2_main_special_settlement_khemri_hef_2	wh2_main_special_settlement_khemri_hef_2	wh2_dlc09_tmb_settlement_khemri_2
wh2_main_special_settlement_khemri_hef_3	wh2_main_special_settlement_khemri_hef_3	wh2_dlc09_tmb_settlement_khemri_3
wh2_main_special_settlement_khemri_hef_4	wh2_main_special_settlement_khemri_hef_4	wh2_dlc09_tmb_settlement_khemri_4
wh2_main_special_settlement_khemri_hef_5	wh2_main_special_settlement_khemri_hef_5	wh2_dlc09_tmb_settlement_khemri_5
wh2_main_special_settlement_khemri_hef_ruin	wh2_main_special_settlement_khemri_hef_ruin	wh2_dlc09_special_settlement_khemri_tmb_ruin
wh2_main_special_settlement_khemri_lzd_1	wh2_main_special_settlement_khemri_lzd_1	wh2_dlc09_tmb_settlement_khemri_1
wh2_main_special_settlement_khemri_lzd_2	wh2_main_special_settlement_khemri_lzd_2	wh2_dlc09_tmb_settlement_khemri_2
wh2_main_special_settlement_khemri_lzd_3	wh2_main_special_settlement_khemri_lzd_3	wh2_dlc09_tmb_settlement_khemri_3
wh2_main_special_settlement_khemri_lzd_4	wh2_main_special_settlement_khemri_lzd_4	wh2_dlc09_tmb_settlement_khemri_4
wh2_main_special_settlement_khemri_lzd_5	wh2_main_special_settlement_khemri_lzd_5	wh2_dlc09_tmb_settlement_khemri_5
wh2_main_special_settlement_khemri_lzd_ruin	wh2_main_special_settlement_khemri_lzd_ruin	wh2_dlc09_special_settlement_khemri_tmb_ruin
wh2_main_special_settlement_khemri_norsca_1	wh2_main_special_settlement_khemri_norsca_1	wh2_dlc09_tmb_settlement_khemri_1
wh2_main_special_settlement_khemri_norsca_2	wh2_main_special_settlement_khemri_norsca_2	wh2_dlc09_tmb_settlement_khemri_2
wh2_main_special_settlement_khemri_norsca_3	wh2_main_special_settlement_khemri_norsca_3	wh2_dlc09_tmb_settlement_khemri_3
wh2_main_special_settlement_khemri_norsca_ruin	wh2_main_special_settlement_khemri_norsca_ruin	wh2_dlc09_special_settlement_khemri_tmb_ruin
wh2_main_special_settlement_khemri_other_1	wh2_main_special_settlement_khemri_other_1	wh2_dlc09_tmb_settlement_khemri_1
wh2_main_special_settlement_khemri_other_2	wh2_main_special_settlement_khemri_other_2	wh2_dlc09_tmb_settlement_khemri_2
wh2_main_special_settlement_khemri_other_3	wh2_main_special_settlement_khemri_other_3	wh2_dlc09_tmb_settlement_khemri_3
wh2_main_special_settlement_khemri_other_4	wh2_main_special_settlement_khemri_other_4	wh2_dlc09_tmb_settlement_khemri_4
wh2_main_special_settlement_khemri_other_5	wh2_main_special_settlement_khemri_other_5	wh2_dlc09_tmb_settlement_khemri_5
wh2_main_special_settlement_khemri_other_ruin	wh2_main_special_settlement_khemri_other_ruin	wh2_dlc09_special_settlement_khemri_tmb_ruin
wh2_main_special_settlement_khemri_savage_1	wh2_main_special_settlement_khemri_savage_1	wh2_dlc09_tmb_settlement_khemri_1
wh2_main_special_settlement_khemri_savage_2	wh2_main_special_settlement_khemri_savage_2	wh2_dlc09_tmb_settlement_khemri_2
wh2_main_special_settlement_khemri_savage_3	wh2_main_special_settlement_khemri_savage_3	wh2_dlc09_tmb_settlement_khemri_3
wh2_main_special_settlement_khemri_savage_ruin	wh2_main_special_settlement_khemri_savage_ruin	wh2_dlc09_special_settlement_khemri_tmb_ruin
wh2_main_special_settlement_khemri_skv_1	wh2_main_special_settlement_khemri_skv_1	wh2_dlc09_tmb_settlement_khemri_1
wh2_main_special_settlement_khemri_skv_2	wh2_main_special_settlement_khemri_skv_2	wh2_dlc09_tmb_settlement_khemri_2
wh2_main_special_settlement_khemri_skv_3	wh2_main_special_settlement_khemri_skv_3	wh2_dlc09_tmb_settlement_khemri_3
wh2_main_special_settlement_khemri_skv_4	wh2_main_special_settlement_khemri_skv_4	wh2_dlc09_tmb_settlement_khemri_4
wh2_main_special_settlement_khemri_skv_5	wh2_main_special_settlement_khemri_skv_5	wh2_dlc09_tmb_settlement_khemri_5
wh2_main_special_settlement_khemri_skv_ruin	wh2_main_special_settlement_khemri_skv_ruin	wh2_dlc09_special_settlement_khemri_tmb_ruin
wh2_dlc09_special_settlement_khemri_tmb_1	wh2_main_special_settlement_khemri_tmb_1	wh2_dlc09_tmb_settlement_khemri_1
wh2_dlc09_special_settlement_khemri_tmb_2	wh2_main_special_settlement_khemri_tmb_2	wh2_dlc09_tmb_settlement_khemri_2
wh2_dlc09_special_settlement_khemri_tmb_3	wh2_main_special_settlement_khemri_tmb_3	wh2_dlc09_tmb_settlement_khemri_3
wh2_dlc09_special_settlement_khemri_tmb_4	wh2_main_special_settlement_khemri_tmb_4	wh2_dlc09_tmb_settlement_khemri_4
wh2_dlc09_special_settlement_khemri_tmb_5	wh2_main_special_settlement_khemri_tmb_5	wh2_dlc09_tmb_settlement_khemri_5
wh2_dlc09_special_settlement_khemri_tmb_ruin	wh2_main_special_settlement_khemri_tmb_ruin	wh2_dlc09_special_settlement_khemri_tmb_ruin
wh2_main_special_settlement_khemri_vmp_1	wh2_main_special_settlement_khemri_vmp_1	wh2_dlc09_tmb_settlement_khemri_1
wh2_main_special_settlement_khemri_vmp_2	wh2_main_special_settlement_khemri_vmp_2	wh2_dlc09_tmb_settlement_khemri_2
wh2_main_special_settlement_khemri_vmp_3	wh2_main_special_settlement_khemri_vmp_3	wh2_dlc09_tmb_settlement_khemri_3
wh2_main_special_settlement_khemri_vmp_4	wh2_main_special_settlement_khemri_vmp_4	wh2_dlc09_tmb_settlement_khemri_4
wh2_main_special_settlement_khemri_vmp_5	wh2_main_special_settlement_khemri_vmp_5	wh2_dlc09_tmb_settlement_khemri_5
wh2_main_special_settlement_khemri_vmp_ruin	wh2_main_special_settlement_khemri_vmp_ruin	wh2_dlc09_special_settlement_khemri_tmb_ruin
wh2_main_special_settlement_kislev_cst_1	wh2_main_special_settlement_kislev_cst_1	wh_main_building_emp_settlement_major_1
wh2_main_special_settlement_kislev_cst_2	wh2_main_special_settlement_kislev_cst_2	wh_main_building_emp_settlement_major_2
wh2_main_special_settlement_kislev_cst_3	wh2_main_special_settlement_kislev_cst_3	wh_main_building_emp_settlement_major_3
wh2_main_special_settlement_kislev_cst_4	wh2_main_special_settlement_kislev_cst_4	wh_main_building_emp_settlement_major_4
wh2_main_special_settlement_kislev_cst_5	wh2_main_special_settlement_kislev_cst_5	wh_main_building_emp_settlement_major_5
wh2_main_special_settlement_kislev_cst_ruin	wh2_main_special_settlement_kislev_cst_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_kislev_def_1	wh2_main_special_settlement_kislev_def_1	wh_main_building_emp_settlement_major_1
wh2_main_special_settlement_kislev_def_2	wh2_main_special_settlement_kislev_def_2	wh_main_building_emp_settlement_major_2
wh2_main_special_settlement_kislev_def_3	wh2_main_special_settlement_kislev_def_3	wh_main_building_emp_settlement_major_3
wh2_main_special_settlement_kislev_def_4	wh2_main_special_settlement_kislev_def_4	wh_main_building_emp_settlement_major_4
wh2_main_special_settlement_kislev_def_5	wh2_main_special_settlement_kislev_def_5	wh_main_building_emp_settlement_major_5
wh2_main_special_settlement_kislev_def_ruin	wh2_main_special_settlement_kislev_def_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_kislev_dwf_1	wh2_main_special_settlement_kislev_dwf_1	wh_main_building_emp_settlement_major_1
wh2_main_special_settlement_kislev_dwf_2	wh2_main_special_settlement_kislev_dwf_2	wh_main_building_emp_settlement_major_2
wh2_main_special_settlement_kislev_dwf_3	wh2_main_special_settlement_kislev_dwf_3	wh_main_building_emp_settlement_major_3
wh2_main_special_settlement_kislev_dwf_4	wh2_main_special_settlement_kislev_dwf_4	wh_main_building_emp_settlement_major_4
wh2_main_special_settlement_kislev_dwf_5	wh2_main_special_settlement_kislev_dwf_5	wh_main_building_emp_settlement_major_5
wh2_main_special_settlement_kislev_dwf_ruin	wh2_main_special_settlement_kislev_dwf_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_kislev_grn_1	wh2_main_special_settlement_kislev_grn_1	wh_main_building_emp_settlement_major_1
wh2_main_special_settlement_kislev_grn_2	wh2_main_special_settlement_kislev_grn_2	wh_main_building_emp_settlement_major_2
wh2_main_special_settlement_kislev_grn_3	wh2_main_special_settlement_kislev_grn_3	wh_main_building_emp_settlement_major_3
wh2_main_special_settlement_kislev_grn_4	wh2_main_special_settlement_kislev_grn_4	wh_main_building_emp_settlement_major_4
wh2_main_special_settlement_kislev_grn_5	wh2_main_special_settlement_kislev_grn_5	wh_main_building_emp_settlement_major_5
wh2_main_special_settlement_kislev_grn_ruin	wh2_main_special_settlement_kislev_grn_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_kislev_hef_1	wh2_main_special_settlement_kislev_hef_1	wh_main_building_emp_settlement_major_1
wh2_main_special_settlement_kislev_hef_2	wh2_main_special_settlement_kislev_hef_2	wh_main_building_emp_settlement_major_2
wh2_main_special_settlement_kislev_hef_3	wh2_main_special_settlement_kislev_hef_3	wh_main_building_emp_settlement_major_3
wh2_main_special_settlement_kislev_hef_4	wh2_main_special_settlement_kislev_hef_4	wh_main_building_emp_settlement_major_4
wh2_main_special_settlement_kislev_hef_5	wh2_main_special_settlement_kislev_hef_5	wh_main_building_emp_settlement_major_5
wh2_main_special_settlement_kislev_hef_ruin	wh2_main_special_settlement_kislev_hef_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_kislev_lzd_1	wh2_main_special_settlement_kislev_lzd_1	wh_main_building_emp_settlement_major_1
wh2_main_special_settlement_kislev_lzd_2	wh2_main_special_settlement_kislev_lzd_2	wh_main_building_emp_settlement_major_2
wh2_main_special_settlement_kislev_lzd_3	wh2_main_special_settlement_kislev_lzd_3	wh_main_building_emp_settlement_major_3
wh2_main_special_settlement_kislev_lzd_4	wh2_main_special_settlement_kislev_lzd_4	wh_main_building_emp_settlement_major_4
wh2_main_special_settlement_kislev_lzd_5	wh2_main_special_settlement_kislev_lzd_5	wh_main_building_emp_settlement_major_5
wh2_main_special_settlement_kislev_lzd_ruin	wh2_main_special_settlement_kislev_lzd_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_kislev_norsca_1	wh2_main_special_settlement_kislev_norsca_1	wh_main_building_emp_settlement_major_1
wh2_main_special_settlement_kislev_norsca_2	wh2_main_special_settlement_kislev_norsca_2	wh_main_building_emp_settlement_major_2
wh2_main_special_settlement_kislev_norsca_3	wh2_main_special_settlement_kislev_norsca_3	wh_main_building_emp_settlement_major_3
wh2_main_special_settlement_kislev_norsca_ruin	wh2_main_special_settlement_kislev_norsca_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_kislev_other_1	wh2_main_special_settlement_kislev_other_1	wh_main_building_emp_settlement_major_1
wh2_main_special_settlement_kislev_other_2	wh2_main_special_settlement_kislev_other_2	wh_main_building_emp_settlement_major_2
wh2_main_special_settlement_kislev_other_3	wh2_main_special_settlement_kislev_other_3	wh_main_building_emp_settlement_major_3
wh2_main_special_settlement_kislev_other_4	wh2_main_special_settlement_kislev_other_4	wh_main_building_emp_settlement_major_4
wh2_main_special_settlement_kislev_other_5	wh2_main_special_settlement_kislev_other_5	wh_main_building_emp_settlement_major_5
wh2_main_special_settlement_kislev_other_ruin	wh2_main_special_settlement_kislev_other_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_kislev_savage_1	wh2_main_special_settlement_kislev_savage_1	wh_main_building_emp_settlement_major_1
wh2_main_special_settlement_kislev_savage_2	wh2_main_special_settlement_kislev_savage_2	wh_main_building_emp_settlement_major_2
wh2_main_special_settlement_kislev_savage_3	wh2_main_special_settlement_kislev_savage_3	wh_main_building_emp_settlement_major_3
wh2_main_special_settlement_kislev_savage_ruin	wh2_main_special_settlement_kislev_savage_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_kislev_skv_1	wh2_main_special_settlement_kislev_skv_1	wh_main_building_emp_settlement_major_1
wh2_main_special_settlement_kislev_skv_2	wh2_main_special_settlement_kislev_skv_2	wh_main_building_emp_settlement_major_2
wh2_main_special_settlement_kislev_skv_3	wh2_main_special_settlement_kislev_skv_3	wh_main_building_emp_settlement_major_3
wh2_main_special_settlement_kislev_skv_4	wh2_main_special_settlement_kislev_skv_4	wh_main_building_emp_settlement_major_4
wh2_main_special_settlement_kislev_skv_5	wh2_main_special_settlement_kislev_skv_5	wh_main_building_emp_settlement_major_5
wh2_main_special_settlement_kislev_skv_ruin	wh2_main_special_settlement_kislev_skv_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_lahmia_brt_1	wh2_main_special_settlement_lahmia_brt_1	wh_main_building_vmp_settlement_major_1
wh2_main_special_settlement_lahmia_brt_2	wh2_main_special_settlement_lahmia_brt_2	wh_main_building_vmp_settlement_major_2
wh2_main_special_settlement_lahmia_brt_3	wh2_main_special_settlement_lahmia_brt_3	wh_main_building_vmp_settlement_major_3
wh2_main_special_settlement_lahmia_brt_4	wh2_main_special_settlement_lahmia_brt_4	wh_main_building_vmp_settlement_major_4
wh2_main_special_settlement_lahmia_brt_5	wh2_main_special_settlement_lahmia_brt_5	wh_main_building_vmp_settlement_major_5
wh2_main_special_settlement_lahmia_brt_ruin	wh2_main_special_settlement_lahmia_brt_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_lahmia_cst_1	wh2_main_special_settlement_lahmia_cst_1	wh_main_building_vmp_settlement_major_1
wh2_main_special_settlement_lahmia_cst_2	wh2_main_special_settlement_lahmia_cst_2	wh_main_building_vmp_settlement_major_2
wh2_main_special_settlement_lahmia_cst_3	wh2_main_special_settlement_lahmia_cst_3	wh_main_building_vmp_settlement_major_3
wh2_main_special_settlement_lahmia_cst_4	wh2_main_special_settlement_lahmia_cst_4	wh_main_building_vmp_settlement_major_4
wh2_main_special_settlement_lahmia_cst_5	wh2_main_special_settlement_lahmia_cst_5	wh_main_building_vmp_settlement_major_5
wh2_main_special_settlement_lahmia_cst_ruin	wh2_main_special_settlement_lahmia_cst_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_lahmia_def_1	wh2_main_special_settlement_lahmia_def_1	wh_main_building_vmp_settlement_major_1
wh2_main_special_settlement_lahmia_def_2	wh2_main_special_settlement_lahmia_def_2	wh_main_building_vmp_settlement_major_2
wh2_main_special_settlement_lahmia_def_3	wh2_main_special_settlement_lahmia_def_3	wh_main_building_vmp_settlement_major_3
wh2_main_special_settlement_lahmia_def_4	wh2_main_special_settlement_lahmia_def_4	wh_main_building_vmp_settlement_major_4
wh2_main_special_settlement_lahmia_def_5	wh2_main_special_settlement_lahmia_def_5	wh_main_building_vmp_settlement_major_5
wh2_main_special_settlement_lahmia_def_ruin	wh2_main_special_settlement_lahmia_def_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_lahmia_dwf_1	wh2_main_special_settlement_lahmia_dwf_1	wh_main_building_vmp_settlement_major_1
wh2_main_special_settlement_lahmia_dwf_2	wh2_main_special_settlement_lahmia_dwf_2	wh_main_building_vmp_settlement_major_2
wh2_main_special_settlement_lahmia_dwf_3	wh2_main_special_settlement_lahmia_dwf_3	wh_main_building_vmp_settlement_major_3
wh2_main_special_settlement_lahmia_dwf_4	wh2_main_special_settlement_lahmia_dwf_4	wh_main_building_vmp_settlement_major_4
wh2_main_special_settlement_lahmia_dwf_5	wh2_main_special_settlement_lahmia_dwf_5	wh_main_building_vmp_settlement_major_5
wh2_main_special_settlement_lahmia_dwf_ruin	wh2_main_special_settlement_lahmia_dwf_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_lahmia_emp_1	wh2_main_special_settlement_lahmia_emp_1	wh_main_building_vmp_settlement_major_1
wh2_main_special_settlement_lahmia_emp_2	wh2_main_special_settlement_lahmia_emp_2	wh_main_building_vmp_settlement_major_2
wh2_main_special_settlement_lahmia_emp_3	wh2_main_special_settlement_lahmia_emp_3	wh_main_building_vmp_settlement_major_3
wh2_main_special_settlement_lahmia_emp_4	wh2_main_special_settlement_lahmia_emp_4	wh_main_building_vmp_settlement_major_4
wh2_main_special_settlement_lahmia_emp_5	wh2_main_special_settlement_lahmia_emp_5	wh_main_building_vmp_settlement_major_5
wh2_main_special_settlement_lahmia_emp_ruin	wh2_main_special_settlement_lahmia_emp_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_lahmia_grn_1	wh2_main_special_settlement_lahmia_grn_1	wh_main_building_vmp_settlement_major_1
wh2_main_special_settlement_lahmia_grn_2	wh2_main_special_settlement_lahmia_grn_2	wh_main_building_vmp_settlement_major_2
wh2_main_special_settlement_lahmia_grn_3	wh2_main_special_settlement_lahmia_grn_3	wh_main_building_vmp_settlement_major_3
wh2_main_special_settlement_lahmia_grn_4	wh2_main_special_settlement_lahmia_grn_4	wh_main_building_vmp_settlement_major_4
wh2_main_special_settlement_lahmia_grn_5	wh2_main_special_settlement_lahmia_grn_5	wh_main_building_vmp_settlement_major_5
wh2_main_special_settlement_lahmia_grn_ruin	wh2_main_special_settlement_lahmia_grn_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_lahmia_hef_1	wh2_main_special_settlement_lahmia_hef_1	wh_main_building_vmp_settlement_major_1
wh2_main_special_settlement_lahmia_hef_2	wh2_main_special_settlement_lahmia_hef_2	wh_main_building_vmp_settlement_major_2
wh2_main_special_settlement_lahmia_hef_3	wh2_main_special_settlement_lahmia_hef_3	wh_main_building_vmp_settlement_major_3
wh2_main_special_settlement_lahmia_hef_4	wh2_main_special_settlement_lahmia_hef_4	wh_main_building_vmp_settlement_major_4
wh2_main_special_settlement_lahmia_hef_5	wh2_main_special_settlement_lahmia_hef_5	wh_main_building_vmp_settlement_major_5
wh2_main_special_settlement_lahmia_hef_ruin	wh2_main_special_settlement_lahmia_hef_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_lahmia_lzd_1	wh2_main_special_settlement_lahmia_lzd_1	wh_main_building_vmp_settlement_major_1
wh2_main_special_settlement_lahmia_lzd_2	wh2_main_special_settlement_lahmia_lzd_2	wh_main_building_vmp_settlement_major_2
wh2_main_special_settlement_lahmia_lzd_3	wh2_main_special_settlement_lahmia_lzd_3	wh_main_building_vmp_settlement_major_3
wh2_main_special_settlement_lahmia_lzd_4	wh2_main_special_settlement_lahmia_lzd_4	wh_main_building_vmp_settlement_major_4
wh2_main_special_settlement_lahmia_lzd_5	wh2_main_special_settlement_lahmia_lzd_5	wh_main_building_vmp_settlement_major_5
wh2_main_special_settlement_lahmia_lzd_ruin	wh2_main_special_settlement_lahmia_lzd_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_lahmia_norsca_1	wh2_main_special_settlement_lahmia_norsca_1	wh_main_building_vmp_settlement_major_1
wh2_main_special_settlement_lahmia_norsca_2	wh2_main_special_settlement_lahmia_norsca_2	wh_main_building_vmp_settlement_major_2
wh2_main_special_settlement_lahmia_norsca_3	wh2_main_special_settlement_lahmia_norsca_3	wh_main_building_vmp_settlement_major_3
wh2_main_special_settlement_lahmia_norsca_ruin	wh2_main_special_settlement_lahmia_norsca_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_lahmia_other_1	wh2_main_special_settlement_lahmia_other_1	wh_main_building_vmp_settlement_major_1
wh2_main_special_settlement_lahmia_other_2	wh2_main_special_settlement_lahmia_other_2	wh_main_building_vmp_settlement_major_2
wh2_main_special_settlement_lahmia_other_3	wh2_main_special_settlement_lahmia_other_3	wh_main_building_vmp_settlement_major_3
wh2_main_special_settlement_lahmia_other_4	wh2_main_special_settlement_lahmia_other_4	wh_main_building_vmp_settlement_major_4
wh2_main_special_settlement_lahmia_other_5	wh2_main_special_settlement_lahmia_other_5	wh_main_building_vmp_settlement_major_5
wh2_main_special_settlement_lahmia_other_ruin	wh2_main_special_settlement_lahmia_other_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_lahmia_savage_1	wh2_main_special_settlement_lahmia_savage_1	wh_main_building_vmp_settlement_major_1
wh2_main_special_settlement_lahmia_savage_2	wh2_main_special_settlement_lahmia_savage_2	wh_main_building_vmp_settlement_major_2
wh2_main_special_settlement_lahmia_savage_3	wh2_main_special_settlement_lahmia_savage_3	wh_main_building_vmp_settlement_major_3
wh2_main_special_settlement_lahmia_savage_ruin	wh2_main_special_settlement_lahmia_savage_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_lahmia_skv_1	wh2_main_special_settlement_lahmia_skv_1	wh_main_building_vmp_settlement_major_1
wh2_main_special_settlement_lahmia_skv_2	wh2_main_special_settlement_lahmia_skv_2	wh_main_building_vmp_settlement_major_2
wh2_main_special_settlement_lahmia_skv_3	wh2_main_special_settlement_lahmia_skv_3	wh_main_building_vmp_settlement_major_3
wh2_main_special_settlement_lahmia_skv_4	wh2_main_special_settlement_lahmia_skv_4	wh_main_building_vmp_settlement_major_4
wh2_main_special_settlement_lahmia_skv_5	wh2_main_special_settlement_lahmia_skv_5	wh_main_building_vmp_settlement_major_5
wh2_main_special_settlement_lahmia_skv_ruin	wh2_main_special_settlement_lahmia_skv_ruin	wh_main_building_human_ruin
wh2_dlc09_special_settlement_lahmia_tmb_1	wh2_main_special_settlement_lahmia_tmb_1	wh_main_building_vmp_settlement_major_1
wh2_dlc09_special_settlement_lahmia_tmb_2	wh2_main_special_settlement_lahmia_tmb_2	wh_main_building_vmp_settlement_major_2
wh2_dlc09_special_settlement_lahmia_tmb_3	wh2_main_special_settlement_lahmia_tmb_3	wh_main_building_vmp_settlement_major_3
wh2_dlc09_special_settlement_lahmia_tmb_4	wh2_main_special_settlement_lahmia_tmb_4	wh_main_building_vmp_settlement_major_4
wh2_dlc09_special_settlement_lahmia_tmb_5	wh2_main_special_settlement_lahmia_tmb_5	wh_main_building_vmp_settlement_major_5
wh2_dlc09_special_settlement_lahmia_tmb_ruin	wh2_main_special_settlement_lahmia_tmb_ruin	wh2_dlc09_tmb_settlement_major_ruin
wh2_main_special_settlement_lahmia_vmp_1	wh2_main_special_settlement_lahmia_vmp_1	wh_main_building_vmp_settlement_major_1
wh2_main_special_settlement_lahmia_vmp_2	wh2_main_special_settlement_lahmia_vmp_2	wh_main_building_vmp_settlement_major_2
wh2_main_special_settlement_lahmia_vmp_3	wh2_main_special_settlement_lahmia_vmp_3	wh_main_building_vmp_settlement_major_3
wh2_main_special_settlement_lahmia_vmp_4	wh2_main_special_settlement_lahmia_vmp_4	wh_main_building_vmp_settlement_major_4
wh2_main_special_settlement_lahmia_vmp_5	wh2_main_special_settlement_lahmia_vmp_5	wh_main_building_vmp_settlement_major_5
wh2_main_special_settlement_lahmia_vmp_ruin	wh2_main_special_settlement_lahmia_vmp_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_lothern_1	wh2_main_special_settlement_lothern_1	wh2_main_building_hef_settlement_major_1
wh2_main_special_settlement_lothern_2	wh2_main_special_settlement_lothern_2	wh2_main_building_hef_settlement_major_2
wh2_main_special_settlement_lothern_3	wh2_main_special_settlement_lothern_3	wh2_main_building_hef_settlement_major_3
wh2_main_special_settlement_lothern_4	wh2_main_special_settlement_lothern_4	wh2_main_building_hef_settlement_major_4
wh2_main_special_settlement_lothern_5	wh2_main_special_settlement_lothern_5	wh2_main_building_hef_settlement_major_5
wh2_main_special_settlement_lothern_brt_1	wh2_main_special_settlement_lothern_brt_1	wh2_main_building_hef_settlement_major_1
wh2_main_special_settlement_lothern_brt_2	wh2_main_special_settlement_lothern_brt_2	wh2_main_building_hef_settlement_major_2
wh2_main_special_settlement_lothern_brt_3	wh2_main_special_settlement_lothern_brt_3	wh2_main_building_hef_settlement_major_3
wh2_main_special_settlement_lothern_brt_4	wh2_main_special_settlement_lothern_brt_4	wh2_main_building_hef_settlement_major_4
wh2_main_special_settlement_lothern_brt_5	wh2_main_special_settlement_lothern_brt_5	wh2_main_building_hef_settlement_major_5
wh2_main_special_settlement_lothern_brt_ruin	wh2_main_special_settlement_lothern_brt_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_lothern_cst_1	wh2_main_special_settlement_lothern_cst_1	wh2_main_building_hef_settlement_major_1
wh2_main_special_settlement_lothern_cst_2	wh2_main_special_settlement_lothern_cst_2	wh2_main_building_hef_settlement_major_2
wh2_main_special_settlement_lothern_cst_3	wh2_main_special_settlement_lothern_cst_3	wh2_main_building_hef_settlement_major_3
wh2_main_special_settlement_lothern_cst_4	wh2_main_special_settlement_lothern_cst_4	wh2_main_building_hef_settlement_major_4
wh2_main_special_settlement_lothern_cst_5	wh2_main_special_settlement_lothern_cst_5	wh2_main_building_hef_settlement_major_5
wh2_main_special_settlement_lothern_cst_ruin	wh2_main_special_settlement_lothern_cst_ruin	wh_main_building_human_ruin
wh2_main_special_settlement_lothern_dwf_1	wh2_main_special_settlement_lothern_dwf_1	wh2_main_building_hef_settlement_major_1
wh2_main_special_settlement_lothern_dwf_2	wh2_main_special_settlement_lothern_dwf_2	wh2_main_building_hef_settlement_major_2
